[XBT:0.001,XDG:3.0,ETH:0.0005,KUS:0.1,LIT:0.2,POK:0.1,TRN:99.0,] CASH: $0.0 Current Worth: $85.57263977219998
[XBT:0.001,XDG:3.0,ETH:0.0005,KUS:0,LIT:0.2,POK:0.1,TRN:370.7590453779375,] CASH: $0.0 Current Worth: $85.65391159416001
[XBT:0.001,XDG:106.42622251075855,ETH:0.0005,KUS:0,LIT:0,POK:0.1,TRN:370.7590453779375,] CASH: $0.0 Current Worth: $88.46746641789329
[XBT:0,XDG:0,ETH:0.0005,KUS:0.42117172477484155,LIT:0,POK:0.1,TRN:0,] CASH: $0.0 Current Worth: $92.48936518559934
[XBT:0,XDG:0,ETH:0.0005,KUS:0,LIT:0.6043511859944516,POK:0.1,TRN:0,] CASH: $0.0 Current Worth: $86.25307270502009
[XBT:0,XDG:0,ETH:0.0005,KUS:0.42274720454340514,LIT:0,POK:0.1,TRN:0,] CASH: $0.0 Current Worth: $85.28998877989622
[XBT:0,XDG:343.3662736676039,ETH:0.0005,KUS:0,LIT:0,POK:0.1,TRN:0,] CASH: $0.0 Current Worth: $84.79986287753093
[XBT:0,XDG:0,ETH:0.04002818250803975,KUS:0,LIT:0,POK:0.1,TRN:0,] CASH: $0.0 Current Worth: $86.25831523808826
[XBT:0,XDG:0,ETH:0,KUS:0,LIT:0,POK:5.905229248744074,TRN:0,] CASH: $0.0 Current Worth: $90.34586203485169
[XBT:0,XDG:393.6058034191254,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $91.33451733212495
[XBT:0,XDG:0,ETH:0,KUS:0,LIT:0,POK:5.957642624199213,TRN:0,] CASH: $0.0 Current Worth: $91.74077363193857
[XBT:0,XDG:452.3947211129712,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $89.78399689553027
[XBT:0,XDG:0,ETH:0,KUS:0.44282767193019157,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $89.62155793446505
[XBT:0,XDG:455.0787527262931,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $91.99544399311202
[XBT:0,XDG:0,ETH:0,KUS:0,LIT:0,POK:6.102606337958352,TRN:0,] CASH: $0.0 Current Worth: $94.27677309343409
[XBT:0,XDG:457.4382283221249,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $92.45238389432045
[XBT:0,XDG:0,ETH:0.04645175732990392,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $96.99778026185729
[XBT:0,XDG:441.6814931688641,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $96.96167664482026
[XBT:0,XDG:0,ETH:0,KUS:0,LIT:0,POK:0,TRN:1609.3222002823063,] CASH: $0.0 Current Worth: $97.45436363964306
[XBT:0,XDG:446.8374750894297,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $96.60265229310843
[XBT:0.002961602615550011,XDG:0,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $97.5604250850006
[XBT:0,XDG:471.4955616699563,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $98.39105361261284
[XBT:0,XDG:0,ETH:0,KUS:0,LIT:0,POK:6.573976244290245,TRN:0,] CASH: $0.0 Current Worth: $100.18459744910326
[XBT:0,XDG:475.59138276247813,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $100.30997542997359
[XBT:0,XDG:0,ETH:0,KUS:0.4789799290809222,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $101.35317417873193
[XBT:0,XDG:476.5944060437518,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $100.54524949426671
[XBT:0,XDG:0,ETH:0,KUS:0,LIT:0,POK:6.603171378633974,TRN:0,] CASH: $0.0 Current Worth: $102.40417399275337
[XBT:0,XDG:480.10786605814656,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $101.99854041163726
[XBT:0,XDG:0,ETH:0,KUS:0.4880961136435677,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $103.37934844219737
[XBT:0,XDG:482.16832322731955,ETH:0,KUS:0,LIT:0,POK:0,TRN:0,] CASH: $0.0 Current Worth: $104.48039146085175
